station,valid,time,tmpf,dwpf,relh,drct,sknt,p01i,alti,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,feel
0CO,9/1/23,12:55:00 AM,46.4,26.6,45.73,M,M,0,30.79,10,M,CLR,M,M,M,M,M,M,M
0CO,9/1/23,1:55:00 AM,44.6,24.8,45.44,140,18,0,30.8,10,M,CLR,M,M,M,M,M,M,36.34
0CO,9/1/23,2:55:00 AM,44.6,23,42.14,120,22,0,30.82,10,M,CLR,M,M,M,M,M,M,35.45
0CO,9/1/23,3:55:00 AM,44.6,21.2,39.06,M,M,0,30.82,10,M,CLR,M,M,M,M,M,M,M
0CO,9/1/23,4:55:00 AM,42.8,26.6,52.45,120,21,0,30.82,10,29,CLR,M,M,M,M,M,M,33.26
0CO,9/1/23,5:55:00 AM,41,26.6,56.22,130,18,0,30.81,10,31,CLR,M,M,M,M,M,M,31.6
0CO,9/1/23,6:55:00 AM,41,28.4,60.54,130,19,0,30.81,10,M,CLR,M,M,M,M,M,M,31.34
0CO,9/1/23,7:55:00 AM,41,28.4,60.54,120,16,0,30.81,10,25,CLR,M,M,M,M,M,M,32.15
0CO,9/1/23,8:55:00 AM,41,28.4,60.54,140,17,0,30.81,10,M,CLR,M,M,M,M,M,M,31.87
0CO,9/1/23,9:55:00 AM,41,28.4,60.54,130,19,0,30.8,10,26,CLR,M,M,M,M,M,M,31.34
0CO,9/1/23,10:55:00 AM,39.2,28.4,64.93,130,21,0,30.8,10,26,CLR,M,M,M,M,M,M,28.46
0CO,9/1/23,11:55:00 AM,39.2,28.4,64.93,130,18,0,30.8,10,25,CLR,M,M,M,M,M,M,29.23
0CO,9/1/23,12:55:00 PM,37.4,28.4,69.67,140,22,0,30.8,10,27,CLR,M,M,M,M,M,M,25.81
0CO,9/1/23,1:55:00 PM,41,30.2,65.16,M,M,0,30.81,10,M,CLR,M,M,M,M,M,M,M
0CO,9/1/23,2:55:00 PM,42.8,30.2,60.79,M,M,0,30.82,10,M,CLR,M,M,M,M,M,M,M
0CO,9/1/23,3:55:00 PM,44.6,24.8,45.44,120,16,0,30.83,10,M,CLR,M,M,M,M,M,M,36.84
0CO,9/1/23,4:55:00 PM,44.6,26.6,48.96,M,M,0,30.84,10,M,CLR,M,M,M,M,M,M,M
0CO,9/1/23,5:55:00 PM,48.2,23,36.78,120,11,0,30.84,10,21,CLR,M,M,M,M,M,M,42.94
0CO,9/1/23,6:55:00 PM,50,23,34.39,160,15,0,30.84,10,24,CLR,M,M,M,M,M,M,50
0CO,9/1/23,7:55:00 PM,50,24.8,37.08,130,12,0,30.83,10,23,CLR,M,M,M,M,M,M,50
0CO,9/1/23,8:55:00 PM,50,23,34.39,150,13,0,30.81,10,20,CLR,M,M,M,M,M,M,50
0CO,9/1/23,9:55:00 PM,50,23,34.39,M,M,0,30.79,10,M,CLR,M,M,M,M,M,M,50
0CO,9/1/23,10:55:00 PM,48.2,23,36.78,120,16,0,30.79,10,M,CLR,M,M,M,M,M,M,41.53
0CO,9/1/23,11:55:00 PM,46.4,21.2,36.48,120,16,0,30.79,10,M,CLR,M,M,M,M,M,M,39.19
0CO,9/2/23,12:55:00 AM,44.6,21.2,39.06,M,M,0,30.77,10,M,CLR,M,M,M,M,M,M,M
0CO,9/2/23,1:55:00 AM,42.8,23,45.14,M,M,0,30.77,10,M,CLR,M,M,M,M,M,M,M
0CO,9/2/23,2:55:00 AM,42.8,26.6,52.45,M,M,0,30.79,10,M,SCT,M,M,M,10000,M,M,M
0CO,9/2/23,3:55:00 AM,42.8,26.6,52.45,160,22,0,30.8,10,M,CLR,M,M,M,M,M,M,33.04
0CO,9/2/23,4:55:00 AM,41,26.6,56.22,220,7,0,30.8,10,M,CLR,M,M,M,M,M,M,35.75
0CO,9/2/23,5:55:00 AM,41,26.6,56.22,260,12,0,30.79,10,24,CLR,M,M,M,M,M,M,33.46
0CO,9/2/23,6:55:00 AM,41,24.8,52.17,260,14,0,30.78,10,25,CLR,M,M,M,M,M,M,32.76
0CO,9/2/23,7:55:00 AM,41,23,48.39,260,22,0,30.77,10,26,CLR,M,M,M,M,M,M,30.63
0CO,9/2/23,8:55:00 AM,41,23,48.39,250,7,0,30.77,10,M,SCT,M,M,M,12000,M,M,35.75
0CO,9/2/23,9:55:00 AM,41,24.8,52.17,260,8,0,30.77,10,M,SCT,M,M,M,12000,M,M,35.2
0CO,9/2/23,10:55:00 AM,42.8,23,45.14,290,10,0,30.75,10,M,SCT,M,M,M,12000,M,M,36.51
0CO,9/2/23,11:55:00 AM,42.8,23,45.14,300,6,0,30.75,10,M,CLR,M,M,M,M,M,M,38.54
0CO,9/2/23,12:55:00 PM,42.8,23,45.14,300,6,0,30.77,10,M,CLR,M,M,M,M,M,M,38.54
0CO,9/2/23,1:55:00 PM,42.8,26.6,52.45,280,7,0,30.77,10,M,CLR,M,M,M,M,M,M,37.94
0CO,9/2/23,2:55:00 PM,44.6,26.6,48.96,310,9,0,30.78,10,17,CLR,M,M,M,M,M,M,39.18
0CO,9/2/23,3:55:00 PM,46.4,28.4,49.24,310,6,0,30.79,10,15,CLR,M,M,M,M,M,M,42.87
0CO,9/2/23,4:55:00 PM,50,28.4,43.03,60,4,0,30.79,10,M,CLR,M,M,M,M,M,M,50
0CO,9/2/23,5:55:00 PM,51.8,30.2,43.32,20,5,0,30.79,10,15,CLR,M,M,M,M,M,M,51.8
0CO,9/2/23,6:55:00 PM,53.6,30.2,40.54,40,5,0,30.77,10,M,CLR,M,M,M,M,M,M,53.6
0CO,9/2/23,7:55:00 PM,51.8,28.4,40.25,40,7,0,30.76,10,M,SCT,SCT,M,M,6000,9500,M,51.8
0CO,9/2/23,8:55:00 PM,48.2,28.4,46.02,M,M,0,30.74,10,M,BKN,OVC,M,M,6000,9000,M,M
0CO,9/2/23,9:55:00 PM,46.4,30.2,53,170,8,0,30.75,10,M,SCT,OVC,M,M,3600,4500,M,41.85
0CO,9/2/23,10:55:00 PM,46.4,28.4,49.24,0,0,0,30.75,10,M,BKN,OVC,M,M,6500,7000,M,46.4
0CO,9/2/23,11:55:00 PM,44.6,30.2,56.74,130,5,0,30.75,10,M,BKN,OVC,M,M,5000,6000,M,41.36
0CO,9/3/23,12:55:00 AM,44.6,30.2,56.74,140,4,0,30.75,10,M,SCT,BKN,M,M,6000,8000,M,42.13
0CO,9/3/23,1:55:00 AM,42.8,30.2,60.79,160,7,0,30.75,10,M,OVC,M,M,M,9000,M,M,37.94
0CO,9/3/23,2:55:00 AM,42.8,28.4,56.48,260,11,0,30.77,10,M,CLR,M,M,M,M,M,M,36.11
0CO,9/3/23,3:55:00 AM,42.8,28.4,56.48,260,6,0,30.77,10,M,CLR,M,M,M,M,M,M,38.54
0CO,9/3/23,4:55:00 AM,44.6,28.4,52.72,260,3,0,30.76,10,M,CLR,M,M,M,M,M,M,43.09
0CO,9/3/23,5:55:00 AM,44.6,28.4,52.72,290,16,0,30.74,10,M,CLR,M,M,M,M,M,M,36.84
0CO,9/3/23,6:55:00 AM,42.8,26.6,52.45,290,13,0,30.74,10,M,CLR,M,M,M,M,M,M,35.4
0CO,9/3/23,7:55:00 AM,42.8,28.4,56.48,300,13,0,30.73,10,M,CLR,M,M,M,M,M,M,35.4
0CO,9/3/23,8:55:00 AM,42.8,28.4,56.48,290,13,0,30.72,10,M,CLR,M,M,M,M,M,M,35.4
